（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
広島・呉,広島市中区,51324324,87,118,
広島・呉,広島市中区,51324334,87,118,
広島・呉,広島市中区,51324335,87,118,
広島・呉,広島市中区,51324344,87,118,
広島・呉,広島市中区,51324345,87,118,
広島・呉,広島市中区,51324346,88,119,
広島・呉,広島市中区,51324355,87,118,
広島・呉,広島市中区,51324356,88,119,
広島・呉,広島市中区,51324365,88,119,
広島・呉,広島市中区,51324366,88,120,
広島・呉,広島市中区,51324367,88,120,
広島・呉,広島市中区,51324375,88,120,
広島・呉,広島市中区,51324376,88,120,
広島・呉,広島市中区,51324377,88,120,
広島・呉,広島市中区,51324386,88,119,
広島・呉,広島市中区,51324387,88,119,
広島・呉,広島市東区,51324379,88,119,
広島・呉,広島市東区,51324388,88,119,
広島・呉,広島市東区,51324389,87,118,
広島・呉,広島市東区,51324397,87,118,
広島・呉,広島市東区,51324398,88,119,
広島・呉,広島市東区,51324399,88,119,
広島・呉,広島市東区,51324480,88,120,
広島・呉,広島市東区,51324490,88,120,
広島・呉,広島市東区,51325307,87,118,
広島・呉,広島市東区,51325308,88,119,
広島・呉,広島市東区,51325309,88,120,
広島・呉,広島市東区,51325317,87,118,
広島・呉,広島市東区,51325318,88,119,
広島・呉,広島市東区,51325319,88,120,
広島・呉,広島市東区,51325328,87,118,
広島・呉,広島市東区,51325329,88,119,
広島・呉,広島市東区,51325400,88,120,
広島・呉,広島市東区,51325401,88,120,
広島・呉,広島市東区,51325402,88,119,
広島・呉,広島市東区,51325403,88,119,
広島・呉,広島市東区,51325410,88,120,
広島・呉,広島市東区,51325411,88,120,
広島・呉,広島市東区,51325412,88,119,
広島・呉,広島市東区,51325413,87,118,
広島・呉,広島市東区,51325414,87,118,
広島・呉,広島市東区,51325420,88,120,
広島・呉,広島市東区,51325421,88,120,
広島・呉,広島市東区,51325422,88,119,
広島・呉,広島市東区,51325423,88,119,
広島・呉,広島市東区,51325424,88,119,
広島・呉,広島市東区,51325425,87,118,
広島・呉,広島市東区,51325431,88,120,
広島・呉,広島市東区,51325432,87,118,
広島・呉,広島市東区,51325433,88,119,
広島・呉,広島市東区,51325434,88,119,
広島・呉,広島市東区,51325442,87,118,
