（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
高知中央,高知市,50331358,222,300,
高知中央,高知市,50331359,224,－,
高知中央,高知市,50331367,227,308,
高知中央,高知市,50331368,224,303,
高知中央,高知市,50331369,219,297,
高知中央,高知市,50331377,230,312,
高知中央,高知市,50331378,226,306,
高知中央,高知市,50331379,222,300,
高知中央,高知市,50331387,233,316,
高知中央,高知市,50331388,229,310,
高知中央,高知市,50331389,224,304,
高知中央,高知市,50331396,239,－,
高知中央,高知市,50331397,236,319,
高知中央,高知市,50331398,234,317,
高知中央,高知市,50331399,230,312,
高知中央,高知市,50331460,219,296,
高知中央,高知市,50331461,241,－,
高知中央,高知市,50331470,179,242,
高知中央,高知市,50331471,217,294,
高知中央,高知市,50331472,241,－,
高知中央,高知市,50331480,244,331,
高知中央,高知市,50331481,241,326,
高知中央,高知市,50331482,217,294,
高知中央,高知市,50331483,212,287,
高知中央,高知市,50331484,213,－,
高知中央,高知市,50331490,227,308,
高知中央,高知市,50331491,224,304,
高知中央,高知市,50331492,219,296,
高知中央,高知市,50331493,213,289,
高知中央,高知市,50331494,210,284,
高知中央,高知市,50331495,207,280,
高知中央,高知市,50331496,244,－,
高知中央,高知市,50332305,193,262,
高知中央,高知市,50332306,180,244,
高知中央,高知市,50332307,237,321,
高知中央,高知市,50332308,236,320,
高知中央,高知市,50332309,235,318,
高知中央,高知市,50332315,238,322,
高知中央,高知市,50332316,204,276,
高知中央,高知市,50332317,179,243,
高知中央,高知市,50332318,212,287,
高知中央,高知市,50332319,235,318,
高知中央,高知市,50332326,213,288,
高知中央,高知市,50332327,213,288,
高知中央,高知市,50332328,239,324,
高知中央,高知市,50332329,237,321,
高知中央,高知市,50332337,215,291,
高知中央,高知市,50332338,215,291,
高知中央,高知市,50332339,224,304,
高知中央,高知市,50332347,219,297,
高知中央,高知市,50332348,230,312,
高知中央,高知市,50332349,216,293,
高知中央,高知市,50332357,222,301,
高知中央,高知市,50332358,222,300,
高知中央,高知市,50332359,230,－,
高知中央,高知市,50332368,226,306,
高知中央,高知市,50332369,224,303,
高知中央,高知市,50332378,219,297,
高知中央,高知市,50332379,217,294,
高知中央,高知市,50332385,226,306,
高知中央,高知市,50332387,198,268,
高知中央,高知市,50332388,199,269,
高知中央,高知市,50332389,211,286,
高知中央,高知市,50332393,228,309,
高知中央,高知市,50332394,227,308,
高知中央,高知市,50332395,228,309,
高知中央,高知市,50332396,185,251,
高知中央,高知市,50332397,233,315,
高知中央,高知市,50332398,233,316,
高知中央,高知市,50332399,230,312,
高知中央,高知市,50332400,230,312,
高知中央,高知市,50332401,194,263,
高知中央,高知市,50332402,223,302,
高知中央,高知市,50332403,218,295,
高知中央,高知市,50332404,213,288,
高知中央,高知市,50332405,244,－,
高知中央,高知市,50332406,244,－,
高知中央,高知市,50332410,198,268,
高知中央,高知市,50332411,196,265,
高知中央,高知市,50332412,226,306,
高知中央,高知市,50332413,221,299,
高知中央,高知市,50332414,216,292,
高知中央,高知市,50332415,244,－,
高知中央,高知市,50332416,244,－,
高知中央,高知市,50332417,244,－,
高知中央,高知市,50332420,234,317,
高知中央,高知市,50332421,233,316,
高知中央,高知市,50332422,228,309,
高知中央,高知市,50332423,244,331,
高知中央,高知市,50332424,244,－,
高知中央,高知市,50332425,216,292,
高知中央,高知市,50332426,210,285,
高知中央,高知市,50332427,207,281,
高知中央,高知市,50332430,211,286,
高知中央,高知市,50332431,210,285,
高知中央,高知市,50332432,253,342,
高知中央,高知市,50332433,227,308,
高知中央,高知市,50332434,222,300,
高知中央,高知市,50332435,217,294,
高知中央,高知市,50332436,213,288,
高知中央,高知市,50332437,210,285,
高知中央,高知市,50332440,216,292,
高知中央,高知市,50332441,213,288,
高知中央,高知市,50332442,256,347,
高知中央,高知市,50332443,251,340,
高知中央,高知市,50332444,201,272,
高知中央,高知市,50332445,198,268,
高知中央,高知市,50332446,238,322,
高知中央,高知市,50332447,192,260,
高知中央,高知市,50332448,216,292,
高知中央,高知市,50332450,217,294,
高知中央,高知市,50332451,216,292,
高知中央,高知市,50332452,204,276,
高知中央,高知市,50332453,210,284,
高知中央,高知市,50332454,251,－,
高知中央,高知市,50332455,246,333,
高知中央,高知市,50332456,242,328,
高知中央,高知市,50332457,197,267,
高知中央,高知市,50332458,196,266,
高知中央,高知市,50332460,221,299,
高知中央,高知市,50332461,219,296,
高知中央,高知市,50332462,219,296,
高知中央,高知市,50332463,216,292,
高知中央,高知市,50332464,251,－,
高知中央,高知市,50332465,207,280,
高知中央,高知市,50332466,204,276,
高知中央,高知市,50332467,202,273,
高知中央,高知市,50332468,202,273,
高知中央,高知市,50332470,224,303,
高知中央,高知市,50332471,222,300,
高知中央,高知市,50332472,222,301,
高知中央,高知市,50332473,251,－,
高知中央,高知市,50332474,251,－,
高知中央,高知市,50332475,251,－,
高知中央,高知市,50332476,209,283,
高知中央,高知市,50332477,207,280,
高知中央,高知市,50332478,251,340,
高知中央,高知市,50332479,202,274,
高知中央,高知市,50332480,226,306,
高知中央,高知市,50332481,224,304,
高知中央,高知市,50332482,226,306,
高知中央,高知市,50332483,251,－,
高知中央,高知市,50332484,222,300,
高知中央,高知市,50332485,251,－,
高知中央,高知市,50332486,213,288,
高知中央,高知市,50332487,258,349,
高知中央,高知市,50332488,177,240,
高知中央,高知市,50332490,229,310,
高知中央,高知市,50332491,228,309,
高知中央,高知市,50332492,227,308,
高知中央,高知市,50332493,227,307,
高知中央,高知市,50332494,224,303,
高知中央,高知市,50332495,219,297,
高知中央,高知市,50332496,216,293,
高知中央,高知市,50332497,171,232,
高知中央,高知市,50332498,213,288,
高知中央,高知市,50333303,230,312,
高知中央,高知市,50333304,230,312,
高知中央,高知市,50333305,233,315,
高知中央,高知市,50333306,233,316,
高知中央,高知市,50333307,233,315,
高知中央,高知市,50333308,189,256,
高知中央,高知市,50333309,193,262,
高知中央,高知市,50333312,233,316,
高知中央,高知市,50333313,201,272,
高知中央,高知市,50333314,231,313,
高知中央,高知市,50333315,233,316,
高知中央,高知市,50333316,235,318,
高知中央,高知市,50333317,190,258,
高知中央,高知市,50333318,236,319,
高知中央,高知市,50333319,192,260,
高知中央,高知市,50333323,234,317,
高知中央,高知市,50333324,234,317,
高知中央,高知市,50333325,236,319,
高知中央,高知市,50333326,236,320,
高知中央,高知市,50333327,238,322,
高知中央,高知市,50333328,239,323,
高知中央,高知市,50333329,239,324,
高知中央,高知市,50333333,238,322,
高知中央,高知市,50333334,237,321,
高知中央,高知市,50333335,239,323,
高知中央,高知市,50333336,188,255,
高知中央,高知市,50333337,239,324,
高知中央,高知市,50333338,240,325,
高知中央,高知市,50333339,202,274,
高知中央,高知市,50333342,239,324,
高知中央,高知市,50333343,240,325,
高知中央,高知市,50333344,202,274,
高知中央,高知市,50333345,241,326,
高知中央,高知市,50333346,198,268,
高知中央,高知市,50333347,240,325,
高知中央,高知市,50333348,241,326,
高知中央,高知市,50333349,242,328,
高知中央,高知市,50333352,242,328,
高知中央,高知市,50333353,242,328,
高知中央,高知市,50333354,244,330,
高知中央,高知市,50333355,242,328,
高知中央,高知市,50333356,243,329,
高知中央,高知市,50333357,243,329,
高知中央,高知市,50333358,242,328,
高知中央,高知市,50333359,243,329,
高知中央,高知市,50333362,244,330,
高知中央,高知市,50333363,245,332,
高知中央,高知市,50333364,245,332,
高知中央,高知市,50333365,245,332,
高知中央,高知市,50333366,245,332,
高知中央,高知市,50333367,245,332,
高知中央,高知市,50333368,247,334,
高知中央,高知市,50333369,247,334,
高知中央,高知市,50333372,242,328,
高知中央,高知市,50333373,245,332,
高知中央,高知市,50333374,201,272,
高知中央,高知市,50333375,245,332,
高知中央,高知市,50333376,246,333,
高知中央,高知市,50333377,248,336,
高知中央,高知市,50333378,250,338,
高知中央,高知市,50333379,206,279,
高知中央,高知市,50333382,243,329,
高知中央,高知市,50333383,245,332,
高知中央,高知市,50333384,244,331,
高知中央,高知市,50333385,245,332,
高知中央,高知市,50333386,248,336,
高知中央,高知市,50333387,251,340,
高知中央,高知市,50333388,253,342,
高知中央,高知市,50333389,256,347,
高知中央,高知市,50333394,245,332,
高知中央,高知市,50333395,244,331,
高知中央,高知市,50333396,247,335,
高知中央,高知市,50333397,251,340,
高知中央,高知市,50333398,254,344,
高知中央,高知市,50333399,258,349,
高知中央,高知市,50333400,224,303,
高知中央,高知市,50333401,233,315,
高知中央,高知市,50333402,241,326,
高知中央,高知市,50333403,218,295,
高知中央,高知市,50333404,225,305,
高知中央,高知市,50333405,224,304,
高知中央,高知市,50333406,222,300,
高知中央,高知市,50333407,219,297,
