（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
岡山地域,岡山市,51336628,75,110,
岡山地域,岡山市,51336629,77,113,
岡山地域,岡山市,51336638,80,116,
岡山地域,岡山市,51336639,78,114,
岡山地域,岡山市,51336646,80,116,
岡山地域,岡山市,51336647,80,116,
岡山地域,岡山市,51336648,80,116,
岡山地域,岡山市,51336649,80,116,
岡山地域,岡山市,51336656,79,115,
岡山地域,岡山市,51336657,79,115,
岡山地域,岡山市,51336658,80,116,
岡山地域,岡山市,51336659,94,－,
岡山地域,岡山市,51336666,79,115,
岡山地域,岡山市,51336667,80,116,
岡山地域,岡山市,51336668,80,116,
岡山地域,岡山市,51336669,94,－,
岡山地域,岡山市,51336676,79,115,
岡山地域,岡山市,51336677,94,－,
岡山地域,岡山市,51336678,94,－,
岡山地域,岡山市,51336679,94,－,
岡山地域,岡山市,51336687,94,－,
岡山地域,岡山市,51336688,94,－,
岡山地域,岡山市,51336689,94,－,
岡山地域,岡山市,51336697,94,－,
岡山地域,岡山市,51336698,94,－,
岡山地域,岡山市,51336699,94,－,
岡山地域,岡山市,51336730,77,113,
岡山地域,岡山市,51336740,78,114,
岡山地域,岡山市,51336750,94,－,
岡山地域,岡山市,51336751,94,－,
岡山地域,岡山市,51336752,94,－,
岡山地域,岡山市,51336753,94,－,
岡山地域,岡山市,51336760,94,－,
岡山地域,岡山市,51336761,94,－,
岡山地域,岡山市,51336762,94,－,
岡山地域,岡山市,51336763,94,－,
岡山地域,岡山市,51336770,94,－,
岡山地域,岡山市,51336771,94,－,
岡山地域,岡山市,51336772,94,－,
岡山地域,岡山市,51336773,94,－,
岡山地域,岡山市,51336774,94,－,
岡山地域,岡山市,51336777,79,115,
岡山地域,岡山市,51336780,94,－,
岡山地域,岡山市,51336781,94,－,
岡山地域,岡山市,51336782,94,－,
岡山地域,岡山市,51336783,94,－,
岡山地域,岡山市,51336784,94,－,
岡山地域,岡山市,51336786,80,116,
岡山地域,岡山市,51336787,80,116,
岡山地域,岡山市,51336788,80,116,
岡山地域,岡山市,51336790,94,－,
岡山地域,岡山市,51336791,94,－,
岡山地域,岡山市,51336792,94,－,
岡山地域,岡山市,51336793,94,－,
岡山地域,岡山市,51336794,94,－,
岡山地域,岡山市,51336795,80,116,
岡山地域,岡山市,51336796,80,117,
岡山地域,岡山市,51336797,80,117,
岡山地域,岡山市,51336798,80,117,
岡山地域,岡山市,51336799,80,116,
岡山地域,岡山市,51337607,94,－,
岡山地域,岡山市,51337608,94,－,
岡山地域,岡山市,51337609,94,－,
岡山地域,岡山市,51337617,94,－,
岡山地域,岡山市,51337618,94,－,
岡山地域,岡山市,51337619,94,－,
岡山地域,岡山市,51337627,77,113,
岡山地域,岡山市,51337628,77,113,
岡山地域,岡山市,51337629,94,－,
岡山地域,岡山市,51337637,77,113,
岡山地域,岡山市,51337638,77,113,
岡山地域,岡山市,51337639,77,113,
岡山地域,岡山市,51337647,78,114,
岡山地域,岡山市,51337648,78,114,
岡山地域,岡山市,51337649,78,114,
岡山地域,岡山市,51337657,78,114,
岡山地域,岡山市,51337658,79,115,
岡山地域,岡山市,51337659,77,113,
岡山地域,岡山市,51337667,80,116,
岡山地域,岡山市,51337668,94,－,
岡山地域,岡山市,51337669,94,－,
岡山地域,岡山市,51337677,94,－,
岡山地域,岡山市,51337678,94,－,
岡山地域,岡山市,51337679,94,－,
岡山地域,岡山市,51337687,80,116,
岡山地域,岡山市,51337688,77,113,
岡山地域,岡山市,51337689,77,113,
岡山地域,岡山市,51337697,80,116,
岡山地域,岡山市,51337698,78,114,
岡山地域,岡山市,51337699,77,113,
岡山地域,岡山市,51337700,94,－,
岡山地域,岡山市,51337701,94,－,
岡山地域,岡山市,51337702,94,－,
岡山地域,岡山市,51337703,94,－,
岡山地域,岡山市,51337704,94,－,
岡山地域,岡山市,51337705,94,－,
岡山地域,岡山市,51337706,81,118,
岡山地域,岡山市,51337707,81,118,
岡山地域,岡山市,51337708,81,118,
岡山地域,岡山市,51337709,81,118,
岡山地域,岡山市,51337710,94,－,
岡山地域,岡山市,51337711,94,－,
岡山地域,岡山市,51337712,94,－,
岡山地域,岡山市,51337713,94,－,
岡山地域,岡山市,51337714,94,－,
岡山地域,岡山市,51337715,94,－,
岡山地域,岡山市,51337716,94,－,
岡山地域,岡山市,51337717,94,－,
岡山地域,岡山市,51337718,80,117,
岡山地域,岡山市,51337719,80,117,
岡山地域,岡山市,51337720,94,－,
岡山地域,岡山市,51337721,94,－,
岡山地域,岡山市,51337722,94,－,
岡山地域,岡山市,51337723,94,－,
岡山地域,岡山市,51337724,94,－,
岡山地域,岡山市,51337725,94,－,
岡山地域,岡山市,51337726,94,－,
岡山地域,岡山市,51337727,94,－,
岡山地域,岡山市,51337728,94,－,
岡山地域,岡山市,51337729,80,117,
岡山地域,岡山市,51337730,94,－,
岡山地域,岡山市,51337731,94,－,
岡山地域,岡山市,51337732,94,－,
岡山地域,岡山市,51337733,94,－,
岡山地域,岡山市,51337734,94,－,
岡山地域,岡山市,51337735,94,－,
岡山地域,岡山市,51337736,94,－,
岡山地域,岡山市,51337737,94,－,
岡山地域,岡山市,51337738,94,－,
岡山地域,岡山市,51337739,94,－,
岡山地域,岡山市,51337740,94,－,
岡山地域,岡山市,51337741,94,－,
岡山地域,岡山市,51337742,94,－,
岡山地域,岡山市,51337743,94,－,
岡山地域,岡山市,51337744,94,－,
岡山地域,岡山市,51337745,94,－,
岡山地域,岡山市,51337746,94,－,
岡山地域,岡山市,51337747,94,－,
岡山地域,岡山市,51337748,94,－,
岡山地域,岡山市,51337749,94,－,
岡山地域,岡山市,51337750,94,－,
岡山地域,岡山市,51337751,94,－,
岡山地域,岡山市,51337752,94,－,
岡山地域,岡山市,51337753,94,－,
岡山地域,岡山市,51337754,94,－,
岡山地域,岡山市,51337755,94,－,
岡山地域,岡山市,51337756,94,－,
岡山地域,岡山市,51337757,94,－,
岡山地域,岡山市,51337758,94,－,
岡山地域,岡山市,51337759,94,－,
岡山地域,岡山市,51337760,94,－,
岡山地域,岡山市,51337761,94,－,
岡山地域,岡山市,51337762,94,－,
岡山地域,岡山市,51337763,94,－,
岡山地域,岡山市,51337764,94,－,
岡山地域,岡山市,51337765,81,118,
岡山地域,岡山市,51337766,81,118,
岡山地域,岡山市,51337767,94,－,
岡山地域,岡山市,51337768,94,－,
岡山地域,岡山市,51337769,94,－,
岡山地域,岡山市,51337770,94,－,
岡山地域,岡山市,51337771,94,－,
岡山地域,岡山市,51337772,94,－,
岡山地域,岡山市,51337773,94,－,
岡山地域,岡山市,51337774,82,119,
岡山地域,岡山市,51337775,82,119,
岡山地域,岡山市,51337776,80,117,
岡山地域,岡山市,51337777,94,－,
岡山地域,岡山市,51337778,94,－,
岡山地域,岡山市,51337779,94,－,
岡山地域,岡山市,51337780,94,－,
岡山地域,岡山市,51337781,94,－,
岡山地域,岡山市,51337782,94,－,
岡山地域,岡山市,51337783,94,－,
岡山地域,岡山市,51337784,94,－,
岡山地域,岡山市,51337785,81,118,
岡山地域,岡山市,51337786,80,117,
岡山地域,岡山市,51337787,81,118,
岡山地域,岡山市,51337788,80,116,
岡山地域,岡山市,51337789,94,－,
岡山地域,岡山市,51337790,78,114,
岡山地域,岡山市,51337791,79,115,
岡山地域,岡山市,51337792,94,－,
岡山地域,岡山市,51337793,94,－,
岡山地域,岡山市,51337794,94,－,
岡山地域,岡山市,51337795,81,118,
岡山地域,岡山市,51337796,81,118,
岡山地域,岡山市,51337797,80,117,
岡山地域,岡山市,51337798,80,116,
岡山地域,岡山市,51337799,80,117,
岡山地域,岡山市,51346077,80,117,
岡山地域,岡山市,51346078,82,119,
岡山地域,岡山市,51346083,80,117,
岡山地域,岡山市,51346087,82,119,
岡山地域,岡山市,51346088,82,－,
岡山地域,岡山市,51346090,80,116,
岡山地域,岡山市,51346091,80,116,
岡山地域,岡山市,51346092,80,117,
岡山地域,岡山市,51346093,81,118,
岡山地域,岡山市,51346096,82,119,
岡山地域,岡山市,51346097,82,119,
岡山地域,岡山市,51347000,80,117,
岡山地域,岡山市,51347001,81,118,
岡山地域,岡山市,51347002,81,118,
岡山地域,岡山市,51347003,82,119,
岡山地域,岡山市,51347004,82,119,
