（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
松江地区,松江市,53320743,109,139,
松江地区,松江市,53320747,112,142,
松江地区,松江市,53320751,116,147,
松江地区,松江市,53320752,120,153,
松江地区,松江市,53320753,105,134,
松江地区,松江市,53320754,95,121,
松江地区,松江市,53320755,109,139,
松江地区,松江市,53320756,105,133,
松江地区,松江市,53320757,106,135,
松江地区,松江市,53320758,107,136,
松江地区,松江市,53320759,118,150,
松江地区,松江市,53320760,115,146,
松江地区,松江市,53320761,121,154,
松江地区,松江市,53320762,101,129,
松江地区,松江市,53320763,110,140,
松江地区,松江市,53320764,100,127,
松江地区,松江市,53320765,100,127,
松江地区,松江市,53320766,109,139,
松江地区,松江市,53320767,105,133,
松江地区,松江市,53320768,107,136,
松江地区,松江市,53320769,107,136,
松江地区,松江市,53320770,116,147,
松江地区,松江市,53320771,116,148,
松江地区,松江市,53320772,112,142,
松江地区,松江市,53320773,107,136,
松江地区,松江市,53320774,105,134,
松江地区,松江市,53320775,105,133,
松江地区,松江市,53320776,124,158,
松江地区,松江市,53320777,120,152,
松江地区,松江市,53320778,110,140,
松江地区,松江市,53320779,120,153,
松江地区,松江市,53320781,124,157,
松江地区,松江市,53320782,119,151,
松江地区,松江市,53320783,117,149,
松江地区,松江市,53320784,107,136,
松江地区,松江市,53320785,116,147,
松江地区,松江市,53320786,109,139,
松江地区,松江市,53320787,114,145,
松江地区,松江市,53320788,120,152,
松江地区,松江市,53320789,124,158,
松江地区,松江市,53320792,113,144,
松江地区,松江市,53320793,112,142,
松江地区,松江市,53320794,112,142,
松江地区,松江市,53320795,111,141,
松江地区,松江市,53320796,110,140,
松江地区,松江市,53320797,109,139,
松江地区,松江市,53320798,105,133,
松江地区,松江市,53320799,109,139,
松江地区,松江市,53321704,107,136,
松江地区,松江市,53321705,116,148,
松江地区,松江市,53321706,111,141,
松江地区,松江市,53321707,105,133,
松江地区,松江市,53321708,109,139,
松江地区,松江市,53321709,105,133,
松江地区,松江市,53321718,109,139,
松江地区,松江市,53321719,109,139,
松江地区,松江市,53321753,115,－,
松江地区,松江市,53321763,114,145,
松江地区,松江市,53321764,114,145,
松江地区,松江市,53321765,114,145,
松江地区,松江市,53321766,119,－,
松江地区,松江市,53321769,107,136,
松江地区,松江市,53321773,127,161,
松江地区,松江市,53321774,115,146,
松江地区,松江市,53321775,114,145,
松江地区,松江市,53321776,114,145,
松江地区,松江市,53321777,119,151,
松江地区,松江市,53321778,124,158,
松江地区,松江市,53321779,113,144,
松江地区,松江市,53321783,97,124,
松江地区,松江市,53321784,116,147,
松江地区,松江市,53321785,114,145,
松江地区,松江市,53321786,119,151,
松江地区,松江市,53321787,130,165,
松江地区,松江市,53321788,113,144,
松江地区,松江市,53321789,109,139,
松江地区,松江市,53321792,116,147,
松江地区,松江市,53321793,121,154,
松江地区,松江市,53321794,131,167,
松江地区,松江市,53321795,114,145,
松江地区,松江市,53321796,120,152,
松江地区,松江市,53321797,131,166,
松江地区,松江市,53321798,131,166,
松江地区,松江市,53321799,115,146,
松江地区,松江市,53322702,110,140,
松江地区,松江市,53322703,116,147,
松江地区,松江市,53322704,126,160,
松江地区,松江市,53322705,120,152,
松江地区,松江市,53322706,125,159,
松江地区,松江市,53322707,115,146,
松江地区,松江市,53322708,116,147,
松江地区,松江市,53322709,116,148,
松江地区,松江市,53322712,124,158,
松江地区,松江市,53322713,115,146,
松江地区,松江市,53322714,125,159,
松江地区,松江市,53322715,126,160,
松江地区,松江市,53322716,127,161,
松江地区,松江市,53322717,127,161,
松江地区,松江市,53322718,124,158,
松江地区,松江市,53322719,124,157,
松江地区,松江市,53322723,109,139,
松江地区,松江市,53322724,115,146,
松江地区,松江市,53322725,127,－,
松江地区,松江市,53322726,127,－,
松江地区,松江市,53322727,117,149,
松江地区,松江市,53322728,130,165,
松江地区,松江市,53322729,131,166,
松江地区,松江市,53322737,122,155,
松江地区,松江市,53322738,129,164,
松江地区,松江市,53322739,130,165,
松江地区,松江市,53322747,122,155,
松江地区,松江市,53322748,123,156,
松江地区,松江市,53322749,118,150,
松江地区,松江市,53322757,127,162,
松江地区,松江市,53322758,112,143,
松江地区,松江市,53322759,116,148,
松江地区,松江市,53330004,99,126,
松江地区,松江市,53330005,103,131,
松江地区,松江市,53330014,99,126,
松江地区,松江市,53330015,104,132,
松江地区,松江市,53330016,99,126,
松江地区,松江市,53330024,108,137,
松江地区,松江市,53330025,98,125,
松江地区,松江市,53330026,104,132,
松江地区,松江市,53330027,109,138,
松江地区,松江市,53330034,109,139,
松江地区,松江市,53330035,109,139,
松江地区,松江市,53330036,109,139,
松江地区,松江市,53330037,120,152,
松江地区,松江市,53330038,113,144,
松江地区,松江市,53330039,108,137,
松江地区,松江市,53330040,112,142,
松江地区,松江市,53330044,130,165,
松江地区,松江市,53330045,131,166,
松江地区,松江市,53330046,125,159,
松江地区,松江市,53330047,120,152,
松江地区,松江市,53330048,120,152,
松江地区,松江市,53330049,119,151,
松江地区,松江市,53330050,112,142,
松江地区,松江市,53330051,116,148,
松江地区,松江市,53330052,117,149,
松江地区,松江市,53330053,124,158,
松江地区,松江市,53330054,127,161,
松江地区,松江市,53330055,116,148,
