（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
徳島・鳴門,徳島市,50347369,201,－,
徳島・鳴門,徳島市,50347379,201,276,
徳島・鳴門,徳島市,50347389,200,274,
徳島・鳴門,徳島市,50347451,197,－,
徳島・鳴門,徳島市,50347452,193,265,
徳島・鳴門,徳島市,50347453,191,263,
徳島・鳴門,徳島市,50347454,189,260,
徳島・鳴門,徳島市,50347455,187,257,
徳島・鳴門,徳島市,50347460,197,271,
徳島・鳴門,徳島市,50347461,194,267,
徳島・鳴門,徳島市,50347462,191,263,
徳島・鳴門,徳島市,50347463,189,260,
徳島・鳴門,徳島市,50347464,188,258,
徳島・鳴門,徳島市,50347465,186,256,
徳島・鳴門,徳島市,50347470,197,271,
徳島・鳴門,徳島市,50347471,193,265,
徳島・鳴門,徳島市,50347472,190,261,
徳島・鳴門,徳島市,50347473,189,259,
徳島・鳴門,徳島市,50347474,187,257,
徳島・鳴門,徳島市,50347475,186,256,
徳島・鳴門,徳島市,50347480,195,268,
徳島・鳴門,徳島市,50347481,192,264,
徳島・鳴門,徳島市,50347482,189,259,
徳島・鳴門,徳島市,50347483,188,258,
徳島・鳴門,徳島市,50347484,187,257,
徳島・鳴門,徳島市,50347490,193,265,
徳島・鳴門,徳島市,50347491,190,261,
徳島・鳴門,徳島市,50347492,189,259,
徳島・鳴門,徳島市,50347493,188,258,
徳島・鳴門,徳島市,51340316,194,267,
徳島・鳴門,徳島市,51340325,193,265,
徳島・鳴門,徳島市,51340326,192,264,
徳島・鳴門,徳島市,51340327,190,261,
徳島・鳴門,徳島市,51340329,190,261,
徳島・鳴門,徳島市,51340334,191,263,
徳島・鳴門,徳島市,51340335,191,262,
徳島・鳴門,徳島市,51340336,191,262,
徳島・鳴門,徳島市,51340337,190,261,
徳島・鳴門,徳島市,51340338,190,261,
徳島・鳴門,徳島市,51340339,189,260,
徳島・鳴門,徳島市,51340344,186,255,
徳島・鳴門,徳島市,51340345,187,257,
徳島・鳴門,徳島市,51340346,188,258,
徳島・鳴門,徳島市,51340347,188,258,
徳島・鳴門,徳島市,51340348,187,257,
徳島・鳴門,徳島市,51340349,186,255,
徳島・鳴門,徳島市,51340354,182,250,
徳島・鳴門,徳島市,51340355,183,252,
徳島・鳴門,徳島市,51340356,186,255,
徳島・鳴門,徳島市,51340357,186,255,
徳島・鳴門,徳島市,51340358,184,253,
徳島・鳴門,徳島市,51340359,183,252,
徳島・鳴門,徳島市,51340366,184,253,
徳島・鳴門,徳島市,51340367,185,254,
徳島・鳴門,徳島市,51340368,183,252,
徳島・鳴門,徳島市,51340369,181,249,
徳島・鳴門,徳島市,51340377,181,249,
徳島・鳴門,徳島市,51340378,185,－,
徳島・鳴門,徳島市,51340379,181,248,
徳島・鳴門,徳島市,51340387,178,245,
徳島・鳴門,徳島市,51340388,185,－,
徳島・鳴門,徳島市,51340389,185,－,
徳島・鳴門,徳島市,51340397,185,－,
徳島・鳴門,徳島市,51340398,185,－,
徳島・鳴門,徳島市,51340399,185,－,
徳島・鳴門,徳島市,51340400,190,261,
徳島・鳴門,徳島市,51340401,190,261,
徳島・鳴門,徳島市,51340402,189,260,
徳島・鳴門,徳島市,51340403,188,258,
徳島・鳴門,徳島市,51340410,189,260,
徳島・鳴門,徳島市,51340411,189,260,
徳島・鳴門,徳島市,51340412,189,259,
徳島・鳴門,徳島市,51340413,188,258,
徳島・鳴門,徳島市,51340414,186,255,
徳島・鳴門,徳島市,51340420,189,259,
徳島・鳴門,徳島市,51340421,187,257,
徳島・鳴門,徳島市,51340422,187,257,
徳島・鳴門,徳島市,51340423,186,256,
徳島・鳴門,徳島市,51340424,184,253,
徳島・鳴門,徳島市,51340427,181,248,
徳島・鳴門,徳島市,51340430,186,256,
徳島・鳴門,徳島市,51340431,186,256,
徳島・鳴門,徳島市,51340432,185,254,
徳島・鳴門,徳島市,51340433,183,252,
徳島・鳴門,徳島市,51340434,186,－,
徳島・鳴門,徳島市,51340435,181,249,
徳島・鳴門,徳島市,51340436,179,246,
徳島・鳴門,徳島市,51340437,179,246,
徳島・鳴門,徳島市,51340440,186,255,
徳島・鳴門,徳島市,51340441,183,252,
徳島・鳴門,徳島市,51340442,183,252,
徳島・鳴門,徳島市,51340443,183,252,
徳島・鳴門,徳島市,51340444,186,－,
徳島・鳴門,徳島市,51340445,180,247,
徳島・鳴門,徳島市,51340446,179,246,
徳島・鳴門,徳島市,51340447,185,－,
徳島・鳴門,徳島市,51340450,183,251,
徳島・鳴門,徳島市,51340451,183,251,
徳島・鳴門,徳島市,51340452,183,252,
徳島・鳴門,徳島市,51340453,183,251,
徳島・鳴門,徳島市,51340454,181,249,
徳島・鳴門,徳島市,51340455,179,246,
徳島・鳴門,徳島市,51340456,185,－,
徳島・鳴門,徳島市,51340457,185,－,
徳島・鳴門,徳島市,51340460,181,249,
徳島・鳴門,徳島市,51340461,182,250,
徳島・鳴門,徳島市,51340462,182,250,
徳島・鳴門,徳島市,51340463,182,250,
徳島・鳴門,徳島市,51340464,185,－,
徳島・鳴門,徳島市,51340465,179,246,
徳島・鳴門,徳島市,51340466,178,244,
徳島・鳴門,徳島市,51340467,185,－,
徳島・鳴門,徳島市,51340468,185,－,
徳島・鳴門,徳島市,51340470,181,248,
徳島・鳴門,徳島市,51340471,181,248,
