（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和7年5月29日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
鳥取地区,鳥取市北部,53330779,126,162,
鳥取地区,鳥取市北部,53331709,112,144,
鳥取地区,鳥取市北部,53331716,109,140,
鳥取地区,鳥取市北部,53331717,109,141,
鳥取地区,鳥取市北部,53331718,110,142,
鳥取地区,鳥取市北部,53331719,110,142,
鳥取地区,鳥取市北部,53331726,113,146,
鳥取地区,鳥取市北部,53331727,113,146,
鳥取地区,鳥取市北部,53331728,113,146,
鳥取地区,鳥取市北部,53331729,109,140,
鳥取地区,鳥取市北部,53331736,114,147,
鳥取地区,鳥取市北部,53331737,113,146,
鳥取地区,鳥取市北部,53331738,113,146,
鳥取地区,鳥取市北部,53331739,113,145,
鳥取地区,鳥取市北部,53331746,113,146,
鳥取地区,鳥取市北部,53331747,113,145,
鳥取地区,鳥取市北部,53331748,112,144,
鳥取地区,鳥取市北部,53331749,112,144,
鳥取地区,鳥取市北部,53331756,108,139,
鳥取地区,鳥取市北部,53331757,113,145,
鳥取地区,鳥取市北部,53331758,112,144,
鳥取地区,鳥取市北部,53331759,111,143,
鳥取地区,鳥取市北部,53331766,107,138,
鳥取地区,鳥取市北部,53331767,107,138,
鳥取地区,鳥取市北部,53331768,106,137,
鳥取地区,鳥取市北部,53331769,106,136,
鳥取地区,鳥取市北部,53331776,112,144,
鳥取地区,鳥取市北部,53331777,112,144,
鳥取地区,鳥取市北部,53331778,112,144,
鳥取地区,鳥取市北部,53331779,110,142,
鳥取地区,鳥取市北部,53331786,112,144,
鳥取地区,鳥取市北部,53331787,112,144,
鳥取地区,鳥取市北部,53331788,110,142,
鳥取地区,鳥取市北部,53331789,109,141,
鳥取地区,鳥取市北部,53331797,112,144,
鳥取地区,鳥取市北部,53331798,109,141,
鳥取地区,鳥取市北部,53331799,109,140,
鳥取地区,鳥取市北部,53332707,110,142,
鳥取地区,鳥取市北部,53332708,109,141,
鳥取地区,鳥取市北部,53332709,108,139,
鳥取地区,鳥取市北部,53332718,109,141,
鳥取地区,鳥取市北部,53332719,109,140,
鳥取地区,鳥取市北部,53332728,109,140,
鳥取地区,鳥取市北部,53332729,109,140,
鳥取地区,鳥取市北部,53332738,109,－,
鳥取地区,鳥取市北部,53332739,109,－,
鳥取地区,鳥取市北部,53340061,127,164,
鳥取地区,鳥取市北部,53340062,145,186,
鳥取地区,鳥取市北部,53340063,161,207,
鳥取地区,鳥取市北部,53340064,131,168,
鳥取地区,鳥取市北部,53340070,121,156,
鳥取地区,鳥取市北部,53340071,128,165,
鳥取地区,鳥取市北部,53340072,130,167,
鳥取地区,鳥取市北部,53340073,140,180,
鳥取地区,鳥取市北部,53340074,128,165,
鳥取地区,鳥取市北部,53340075,126,162,
鳥取地区,鳥取市北部,53340076,120,154,
鳥取地区,鳥取市北部,53340077,116,149,
鳥取地区,鳥取市北部,53340078,116,149,
鳥取地区,鳥取市北部,53340080,116,149,
鳥取地区,鳥取市北部,53340081,127,164,
鳥取地区,鳥取市北部,53340082,127,164,
鳥取地区,鳥取市北部,53340083,129,166,
鳥取地区,鳥取市北部,53340084,127,163,
鳥取地区,鳥取市北部,53340085,124,159,
鳥取地区,鳥取市北部,53340086,119,153,
鳥取地区,鳥取市北部,53340087,116,149,
鳥取地区,鳥取市北部,53340088,117,151,
鳥取地区,鳥取市北部,53340089,109,141,
鳥取地区,鳥取市北部,53340090,117,151,
鳥取地区,鳥取市北部,53340091,122,157,
鳥取地区,鳥取市北部,53340092,120,154,
鳥取地区,鳥取市北部,53340093,124,160,
鳥取地区,鳥取市北部,53340094,120,154,
鳥取地区,鳥取市北部,53340095,109,141,
鳥取地区,鳥取市北部,53340096,118,152,
鳥取地区,鳥取市北部,53340097,114,147,
鳥取地区,鳥取市北部,53340098,109,141,
鳥取地区,鳥取市北部,53340099,117,151,
鳥取地区,鳥取市北部,53340170,117,151,
鳥取地区,鳥取市北部,53340180,102,131,
鳥取地区,鳥取市北部,53340181,99,128,
鳥取地区,鳥取市北部,53340182,99,128,
鳥取地区,鳥取市北部,53340190,115,148,
鳥取地区,鳥取市北部,53340191,98,126,
鳥取地区,鳥取市北部,53340192,98,126,
鳥取地区,鳥取市北部,53340193,98,126,
鳥取地区,鳥取市北部,53340194,99,127,
鳥取地区,鳥取市北部,53341000,115,148,
鳥取地区,鳥取市北部,53341001,117,151,
鳥取地区,鳥取市北部,53341002,117,150,
鳥取地区,鳥取市北部,53341003,122,157,
鳥取地区,鳥取市北部,53341004,110,142,
鳥取地区,鳥取市北部,53341005,109,140,
鳥取地区,鳥取市北部,53341006,103,133,
鳥取地区,鳥取市北部,53341007,103,133,
鳥取地区,鳥取市北部,53341008,102,131,
鳥取地区,鳥取市北部,53341009,100,129,
鳥取地区,鳥取市北部,53341010,111,143,
鳥取地区,鳥取市北部,53341011,112,144,
鳥取地区,鳥取市北部,53341012,112,144,
鳥取地区,鳥取市北部,53341013,111,143,
鳥取地区,鳥取市北部,53341014,105,135,
鳥取地区,鳥取市北部,53341015,103,133,
鳥取地区,鳥取市北部,53341016,102,131,
鳥取地区,鳥取市北部,53341017,101,130,
鳥取地区,鳥取市北部,53341018,100,129,
鳥取地区,鳥取市北部,53341019,100,129,
鳥取地区,鳥取市北部,53341020,104,134,
鳥取地区,鳥取市北部,53341021,109,141,
鳥取地区,鳥取市北部,53341022,109,141,
鳥取地区,鳥取市北部,53341023,109,141,
鳥取地区,鳥取市北部,53341024,103,133,
鳥取地区,鳥取市北部,53341025,102,132,
鳥取地区,鳥取市北部,53341026,102,131,
鳥取地区,鳥取市北部,53341027,102,131,
鳥取地区,鳥取市北部,53341028,102,131,
鳥取地区,鳥取市北部,53341029,101,130,
鳥取地区,鳥取市北部,53341030,107,138,
鳥取地区,鳥取市北部,53341031,108,139,
鳥取地区,鳥取市北部,53341032,107,138,
鳥取地区,鳥取市北部,53341033,107,138,
鳥取地区,鳥取市北部,53341034,102,131,
鳥取地区,鳥取市北部,53341035,101,130,
鳥取地区,鳥取市北部,53341036,101,130,
鳥取地区,鳥取市北部,53341037,102,131,
鳥取地区,鳥取市北部,53341038,102,132,
鳥取地区,鳥取市北部,53341039,103,133,
鳥取地区,鳥取市北部,53341040,107,138,
鳥取地区,鳥取市北部,53341041,102,132,
鳥取地区,鳥取市北部,53341042,102,131,
鳥取地区,鳥取市北部,53341043,102,131,
鳥取地区,鳥取市北部,53341044,102,131,
鳥取地区,鳥取市北部,53341045,95,123,
鳥取地区,鳥取市北部,53341046,95,123,
鳥取地区,鳥取市北部,53341047,102,132,
鳥取地区,鳥取市北部,53341048,103,133,
鳥取地区,鳥取市北部,53341049,102,132,
鳥取地区,鳥取市北部,53341050,106,136,
鳥取地区,鳥取市北部,53341051,101,130,
鳥取地区,鳥取市北部,53341052,102,131,
鳥取地区,鳥取市北部,53341053,100,129,
鳥取地区,鳥取市北部,53341054,99,128,
鳥取地区,鳥取市北部,53341055,99,127,
鳥取地区,鳥取市北部,53341056,99,128,
鳥取地区,鳥取市北部,53341057,101,130,
鳥取地区,鳥取市北部,53341058,102,131,
鳥取地区,鳥取市北部,53341059,99,128,
鳥取地区,鳥取市北部,53341060,106,136,
鳥取地区,鳥取市北部,53341061,100,129,
鳥取地区,鳥取市北部,53341062,100,129,
鳥取地区,鳥取市北部,53341063,99,128,
鳥取地区,鳥取市北部,53341064,99,128,
鳥取地区,鳥取市北部,53341065,99,127,
鳥取地区,鳥取市北部,53341066,99,127,
鳥取地区,鳥取市北部,53341067,98,126,
鳥取地区,鳥取市北部,53341068,99,127,
鳥取地区,鳥取市北部,53341069,98,126,
鳥取地区,鳥取市北部,53341070,103,133,
鳥取地区,鳥取市北部,53341071,104,134,
鳥取地区,鳥取市北部,53341072,99,128,
鳥取地区,鳥取市北部,53341073,99,128,
鳥取地区,鳥取市北部,53341074,99,127,
鳥取地区,鳥取市北部,53341075,98,126,
鳥取地区,鳥取市北部,53341076,98,126,
鳥取地区,鳥取市北部,53341077,97,125,
鳥取地区,鳥取市北部,53341078,96,124,
鳥取地区,鳥取市北部,53341079,95,123,
鳥取地区,鳥取市北部,53341080,103,133,
鳥取地区,鳥取市北部,53341081,102,132,
鳥取地区,鳥取市北部,53341082,103,133,
鳥取地区,鳥取市北部,53341083,102,132,
鳥取地区,鳥取市北部,53341084,98,126,
鳥取地区,鳥取市北部,53341085,97,125,
鳥取地区,鳥取市北部,53341086,97,125,
鳥取地区,鳥取市北部,53341087,102,131,
鳥取地区,鳥取市北部,53341088,101,130,
鳥取地区,鳥取市北部,53341089,100,129,
鳥取地区,鳥取市北部,53341090,103,133,
鳥取地区,鳥取市北部,53341091,102,132,
鳥取地区,鳥取市北部,53341092,102,131,
鳥取地区,鳥取市北部,53341093,102,132,
鳥取地区,鳥取市北部,53341094,98,126,
鳥取地区,鳥取市北部,53341095,95,123,
鳥取地区,鳥取市北部,53341096,95,123,
鳥取地区,鳥取市北部,53341097,101,130,
鳥取地区,鳥取市北部,53341098,101,130,
鳥取地区,鳥取市北部,53341099,100,129,
鳥取地区,鳥取市北部,53341100,109,140,
鳥取地区,鳥取市北部,53341101,108,139,
鳥取地区,鳥取市北部,53341102,99,127,
鳥取地区,鳥取市北部,53341103,98,126,
鳥取地区,鳥取市北部,53341104,98,126,
鳥取地区,鳥取市北部,53341108,102,131,
鳥取地区,鳥取市北部,53341110,99,128,
鳥取地区,鳥取市北部,53341111,99,127,
鳥取地区,鳥取市北部,53341112,98,126,
鳥取地区,鳥取市北部,53341113,98,126,
鳥取地区,鳥取市北部,53341114,97,125,
鳥取地区,鳥取市北部,53341115,97,125,
鳥取地区,鳥取市北部,53341117,101,130,
鳥取地区,鳥取市北部,53341118,101,130,
鳥取地区,鳥取市北部,53341119,102,131,
鳥取地区,鳥取市北部,53341120,100,129,
鳥取地区,鳥取市北部,53341121,99,127,
鳥取地区,鳥取市北部,53341122,98,126,
鳥取地区,鳥取市北部,53341123,96,124,
鳥取地区,鳥取市北部,53341124,96,124,
鳥取地区,鳥取市北部,53341125,96,124,
鳥取地区,鳥取市北部,53341126,95,123,
鳥取地区,鳥取市北部,53341127,95,123,
鳥取地区,鳥取市北部,53341128,95,123,
鳥取地区,鳥取市北部,53341129,95,123,
鳥取地区,鳥取市北部,53341130,102,131,
鳥取地区,鳥取市北部,53341131,99,128,
鳥取地区,鳥取市北部,53341132,98,126,
鳥取地区,鳥取市北部,53341133,96,124,
鳥取地区,鳥取市北部,53341134,96,124,
鳥取地区,鳥取市北部,53341135,95,123,
鳥取地区,鳥取市北部,53341136,95,123,
鳥取地区,鳥取市北部,53341137,95,123,
鳥取地区,鳥取市北部,53341138,95,123,
鳥取地区,鳥取市北部,53341139,95,123,
鳥取地区,鳥取市北部,53341140,101,130,
鳥取地区,鳥取市北部,53341141,98,126,
鳥取地区,鳥取市北部,53341142,97,125,
鳥取地区,鳥取市北部,53341143,96,124,
鳥取地区,鳥取市北部,53341144,95,123,
鳥取地区,鳥取市北部,53341145,95,123,
鳥取地区,鳥取市北部,53341146,100,－,
鳥取地区,鳥取市北部,53341147,95,123,
鳥取地区,鳥取市北部,53341148,95,122,
鳥取地区,鳥取市北部,53341149,95,122,
鳥取地区,鳥取市北部,53341150,99,127,
鳥取地区,鳥取市北部,53341151,97,125,
鳥取地区,鳥取市北部,53341152,95,123,
鳥取地区,鳥取市北部,53341153,95,123,
鳥取地区,鳥取市北部,53341154,95,123,
鳥取地区,鳥取市北部,53341155,95,122,
鳥取地区,鳥取市北部,53341156,100,－,
鳥取地区,鳥取市北部,53341157,100,－,
鳥取地区,鳥取市北部,53341158,100,－,
鳥取地区,鳥取市北部,53341159,94,121,
鳥取地区,鳥取市北部,53341160,97,125,
鳥取地区,鳥取市北部,53341161,95,123,
鳥取地区,鳥取市北部,53341162,95,122,
鳥取地区,鳥取市北部,53341163,95,123,
鳥取地区,鳥取市北部,53341164,92,118,
鳥取地区,鳥取市北部,53341165,91,117,
鳥取地区,鳥取市北部,53341166,100,－,
鳥取地区,鳥取市北部,53341167,100,－,
鳥取地区,鳥取市北部,53341168,93,120,
鳥取地区,鳥取市北部,53341169,94,121,
鳥取地区,鳥取市北部,53341170,95,123,
鳥取地区,鳥取市北部,53341171,95,122,
鳥取地区,鳥取市北部,53341172,95,122,
鳥取地区,鳥取市北部,53341173,94,121,
鳥取地区,鳥取市北部,53341174,91,117,
鳥取地区,鳥取市北部,53341175,92,118,
鳥取地区,鳥取市北部,53341176,100,－,
鳥取地区,鳥取市北部,53341177,100,－,
鳥取地区,鳥取市北部,53341178,100,－,
鳥取地区,鳥取市北部,53341179,91,117,
鳥取地区,鳥取市北部,53341180,99,128,
鳥取地区,鳥取市北部,53341181,95,122,
鳥取地区,鳥取市北部,53341182,93,120,
鳥取地区,鳥取市北部,53341183,93,120,
鳥取地区,鳥取市北部,53341184,90,116,
鳥取地区,鳥取市北部,53341185,91,117,
鳥取地区,鳥取市北部,53341186,89,115,
鳥取地区,鳥取市北部,53341187,100,－,
鳥取地区,鳥取市北部,53341188,100,－,
鳥取地区,鳥取市北部,53341189,96,124,
鳥取地区,鳥取市北部,53341190,99,128,
鳥取地区,鳥取市北部,53341191,94,121,
鳥取地区,鳥取市北部,53341192,93,120,
鳥取地区,鳥取市北部,53341193,93,120,
鳥取地区,鳥取市北部,53341194,88,114,
鳥取地区,鳥取市北部,53341195,93,120,
鳥取地区,鳥取市北部,53341196,94,121,
鳥取地区,鳥取市北部,53341197,100,－,
鳥取地区,鳥取市北部,53341198,100,－,
鳥取地区,鳥取市北部,53341199,100,129,
鳥取地区,鳥取市北部,53341216,92,118,
鳥取地区,鳥取市北部,53341217,92,119,
鳥取地区,鳥取市北部,53341218,93,120,
鳥取地区,鳥取市北部,53341219,98,126,
鳥取地区,鳥取市北部,53341220,95,123,
鳥取地区,鳥取市北部,53341225,91,117,
鳥取地区,鳥取市北部,53341226,92,118,
鳥取地区,鳥取市北部,53341227,92,118,
鳥取地区,鳥取市北部,53341228,93,120,
鳥取地区,鳥取市北部,53341229,93,120,
鳥取地区,鳥取市北部,53341230,95,123,
鳥取地区,鳥取市北部,53341231,95,123,
鳥取地区,鳥取市北部,53341232,96,124,
鳥取地区,鳥取市北部,53341233,96,124,
鳥取地区,鳥取市北部,53341234,96,124,
鳥取地区,鳥取市北部,53341235,92,118,
鳥取地区,鳥取市北部,53341236,92,118,
鳥取地区,鳥取市北部,53341237,92,119,
鳥取地区,鳥取市北部,53341238,93,120,
鳥取地区,鳥取市北部,53341239,93,120,
鳥取地区,鳥取市北部,53341240,95,123,
鳥取地区,鳥取市北部,53341241,95,123,
鳥取地区,鳥取市北部,53341242,96,124,
鳥取地区,鳥取市北部,53341243,95,123,
鳥取地区,鳥取市北部,53341244,95,123,
鳥取地区,鳥取市北部,53341245,92,118,
鳥取地区,鳥取市北部,53341246,92,118,
鳥取地区,鳥取市北部,53341247,92,118,
鳥取地区,鳥取市北部,53341248,92,119,
鳥取地区,鳥取市北部,53341249,93,120,
鳥取地区,鳥取市北部,53341250,95,122,
鳥取地区,鳥取市北部,53341251,95,123,
鳥取地区,鳥取市北部,53341252,95,123,
鳥取地区,鳥取市北部,53341253,95,123,
鳥取地区,鳥取市北部,53341254,95,123,
鳥取地区,鳥取市北部,53341255,91,117,
鳥取地区,鳥取市北部,53341256,92,118,
鳥取地区,鳥取市北部,53341257,93,120,
鳥取地区,鳥取市北部,53341258,93,120,
鳥取地区,鳥取市北部,53341259,93,120,
鳥取地区,鳥取市北部,53341260,95,123,
鳥取地区,鳥取市北部,53341261,95,123,
鳥取地区,鳥取市北部,53341262,95,123,
鳥取地区,鳥取市北部,53341263,95,123,
鳥取地区,鳥取市北部,53341264,91,117,
鳥取地区,鳥取市北部,53341265,95,123,
鳥取地区,鳥取市北部,53341266,92,118,
鳥取地区,鳥取市北部,53341267,106,137,
鳥取地区,鳥取市北部,53341268,93,120,
鳥取地区,鳥取市北部,53341269,94,121,
鳥取地区,鳥取市北部,53341270,95,123,
鳥取地区,鳥取市北部,53341271,95,123,
鳥取地区,鳥取市北部,53341272,95,122,
鳥取地区,鳥取市北部,53341273,95,123,
鳥取地区,鳥取市北部,53341274,91,117,
鳥取地区,鳥取市北部,53341275,91,117,
鳥取地区,鳥取市北部,53341276,92,118,
鳥取地区,鳥取市北部,53341278,93,120,
鳥取地区,鳥取市北部,53341279,93,120,
鳥取地区,鳥取市北部,53341280,95,123,
鳥取地区,鳥取市北部,53341281,95,123,
鳥取地区,鳥取市北部,53341282,94,121,
鳥取地区,鳥取市北部,53341283,95,123,
鳥取地区,鳥取市北部,53341284,90,116,
鳥取地区,鳥取市北部,53341285,91,117,
鳥取地区,鳥取市北部,53341289,102,131,
鳥取地区,鳥取市北部,53341290,100,129,
鳥取地区,鳥取市北部,53341291,104,134,
鳥取地区,鳥取市北部,53341292,108,139,
鳥取地区,鳥取市北部,53341293,109,140,
鳥取地区,鳥取市北部,53341294,109,140,
鳥取地区,鳥取市北部,53341295,109,140,
鳥取地区,鳥取市北部,53341320,112,144,
鳥取地区,鳥取市北部,53341323,108,139,
鳥取地区,鳥取市北部,53341324,103,133,
鳥取地区,鳥取市北部,53341330,112,144,
鳥取地区,鳥取市北部,53341331,115,148,
鳥取地区,鳥取市北部,53341332,116,149,
鳥取地区,鳥取市北部,53341333,104,134,
鳥取地区,鳥取市北部,53341334,105,135,
鳥取地区,鳥取市北部,53341340,109,141,
鳥取地区,鳥取市北部,53341341,112,144,
鳥取地区,鳥取市北部,53341342,113,146,
鳥取地区,鳥取市北部,53341343,105,135,
鳥取地区,鳥取市北部,53341344,105,135,
