（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和7年5月29日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
紀北,和歌山市,51343739,121,－,
紀北,和歌山市,51351184,122,178,
紀北,和歌山市,51351194,123,179,
紀北,和歌山市,51351195,124,180,
紀北,和歌山市,51352078,－,－,
紀北,和歌山市,51352079,129,－,
紀北,和歌山市,51352088,－,－,
紀北,和歌山市,51352089,129,－,
紀北,和歌山市,51352098,129,－,
紀北,和歌山市,51352099,129,－,
紀北,和歌山市,51352104,129,－,
紀北,和歌山市,51352105,122,178,
紀北,和歌山市,51352113,129,－,
紀北,和歌山市,51352114,129,－,
紀北,和歌山市,51352115,122,177,
紀北,和歌山市,51352116,121,176,
紀北,和歌山市,51352117,120,175,
紀北,和歌山市,51352118,126,183,
紀北,和歌山市,51352121,125,182,
紀北,和歌山市,51352122,126,183,
紀北,和歌山市,51352123,126,183,
紀北,和歌山市,51352124,129,188,
紀北,和歌山市,51352125,122,178,
紀北,和歌山市,51352126,121,176,
紀北,和歌山市,51352127,121,176,
紀北,和歌山市,51352128,120,175,
紀北,和歌山市,51352129,120,175,
紀北,和歌山市,51352131,124,180,
紀北,和歌山市,51352132,124,181,
紀北,和歌山市,51352133,125,182,
紀北,和歌山市,51352134,124,180,
紀北,和歌山市,51352135,122,178,
紀北,和歌山市,51352136,121,176,
紀北,和歌山市,51352137,121,176,
紀北,和歌山市,51352138,120,175,
紀北,和歌山市,51352139,120,174,
紀北,和歌山市,51352141,129,－,
紀北,和歌山市,51352142,124,180,
紀北,和歌山市,51352143,124,180,
紀北,和歌山市,51352144,123,179,
紀北,和歌山市,51352145,121,176,
紀北,和歌山市,51352146,122,177,
紀北,和歌山市,51352147,122,－,
紀北,和歌山市,51352148,122,177,
紀北,和歌山市,51352149,120,174,
紀北,和歌山市,51352151,129,－,
紀北,和歌山市,51352152,124,181,
紀北,和歌山市,51352153,129,－,
紀北,和歌山市,51352154,129,－,
紀北,和歌山市,51352155,129,－,
紀北,和歌山市,51352156,121,176,
紀北,和歌山市,51352157,121,176,
紀北,和歌山市,51352158,120,175,
紀北,和歌山市,51352159,120,174,
紀北,和歌山市,51352161,129,187,
紀北,和歌山市,51352162,129,－,
紀北,和歌山市,51352163,129,187,
紀北,和歌山市,51352164,123,179,
紀北,和歌山市,51352165,129,－,
紀北,和歌山市,51352166,121,176,
紀北,和歌山市,51352167,120,174,
紀北,和歌山市,51352168,124,181,
紀北,和歌山市,51352169,120,174,
紀北,和歌山市,51352170,129,－,
紀北,和歌山市,51352171,129,－,
紀北,和歌山市,51352172,129,－,
紀北,和歌山市,51352173,124,180,
紀北,和歌山市,51352174,129,－,
紀北,和歌山市,51352175,129,－,
紀北,和歌山市,51352176,129,－,
紀北,和歌山市,51352177,120,174,
紀北,和歌山市,51352178,120,174,
紀北,和歌山市,51352179,119,173,
紀北,和歌山市,51352180,129,－,
紀北,和歌山市,51352181,129,－,
紀北,和歌山市,51352182,129,－,
紀北,和歌山市,51352183,129,－,
紀北,和歌山市,51352184,129,－,
紀北,和歌山市,51352185,129,－,
紀北,和歌山市,51352186,129,－,
紀北,和歌山市,51352187,120,174,
紀北,和歌山市,51352188,120,174,
紀北,和歌山市,51352189,129,－,
紀北,和歌山市,51352190,129,－,
紀北,和歌山市,51352191,129,－,
紀北,和歌山市,51352192,129,－,
紀北,和歌山市,51352193,129,－,
紀北,和歌山市,51352194,129,－,
紀北,和歌山市,51352195,129,－,
紀北,和歌山市,51352196,129,－,
紀北,和歌山市,51352197,129,－,
紀北,和歌山市,51352198,129,－,
紀北,和歌山市,51352199,129,－,
紀北,和歌山市,51352210,120,174,
紀北,和歌山市,51352211,120,174,
紀北,和歌山市,51352212,120,175,
紀北,和歌山市,51352220,120,174,
紀北,和歌山市,51352221,120,174,
紀北,和歌山市,51352230,120,174,
紀北,和歌山市,51352231,120,174,
紀北,和歌山市,51352232,119,173,
